src,dst,flow,dst_name,src_name
51,61,12133,education,information
51,62,30046,health,information
51,71,4005,recreation,information
51,72,17503,accommodation,information
51,81,19131,other services,information
51,G,96728,government,information
52,11,5054,agriculture,finance
52,21,29807,mining,finance
52,22,8806,utilities,finance
52,23,10017,construction,finance
52,31ND,16632,nondurable,finance
52,33DG,25850,durable,finance
52,42,52038,wholesale,finance
52,44RT,38932,retail,finance
52,48TW,57457,transportation,finance
52,51,19102,information,finance
52,52,797347,finance,finance
52,53,262968,housing,finance
52,54,52425,professional,finance
52,55,24743,management,finance
52,56,23569,administrative,finance
52,61,5858,education,finance
52,62,117647,health,finance
52,71,6502,recreation,finance
52,72,15393,accommodation,finance
52,81,37651,other services,finance
52,G,128626,government,finance
53,11,33362,agriculture,housing
53,21,12632,mining,housing
53,22,4457,utilities,housing
53,23,41295,construction,housing
53,31ND,26421,nondurable,housing
53,33DG,32437,durable,housing
53,42,132389,wholesale,housing
53,44RT,180440,retail,housing
53,48TW,60247,transportation,housing
53,51,65697,information,housing
53,52,161307,finance,housing
53,53,153919,housing,housing
53,54,107188,professional,housing
53,55,54190,management,housing
53,56,29780,administrative,housing
53,61,39148,education,housing
53,62,150828,health,housing
53,71,28821,recreation,housing
53,72,99967,accommodation,housing
53,81,49328,other services,housing
53,G,63522,government,housing
54,11,3299,agriculture,professional
54,21,34041,mining,professional
54,22,15297,utilities,professional
54,23,62863,construction,professional
54,31ND,65414,nondurable,professional
54,33DG,84483,durable,professional
54,42,145610,wholesale,professional
54,44RT,118565,retail,professional
54,48TW,25776,transportation,professional
54,51,161071,information,professional
54,52,205442,finance,professional
54,53,154914,housing,professional
54,54,236586,professional,professional
54,55,86911,management,professional
54,56,74754,administrative,professional
54,61,7806,education,professional
54,62,142985,health,professional
54,71,17562,recreation,professional
54,72,52813,accommodation,professional
54,81,34487,other services,professional
54,G,185838,government,professional
55,11,0,agriculture,management
55,21,18310,mining,management
55,22,23,utilities,management
55,23,8129,construction,management
55,31ND,73024,nondurable,management
55,33DG,75402,durable,management
55,42,89805,wholesale,management
55,44RT,54181,retail,management
55,48TW,15072,transportation,management
55,51,12141,information,management
55,52,22868,finance,management
55,53,7349,housing,management
55,54,39097,professional,management
55,55,100,management,management
55,56,51672,administrative,management
55,61,4283,education,management
55,62,42794,health,management
55,71,4694,recreation,management
55,72,84408,accommodation,management
55,81,9325,other services,management
55,G,518,government,management
56,11,961,agriculture,administrative
56,21,5848,mining,administrative
56,22,13864,utilities,administrative
56,23,12175,construction,administrative
56,31ND,26965,nondurable,administrative
56,33DG,31394,durable,administrative
56,42,78215,wholesale,administrative
56,44RT,47906,retail,administrative
56,48TW,50629,transportation,administrative
56,51,69095,information,administrative
56,52,57795,finance,administrative
56,53,163618,housing,administrative
56,54,107971,professional,administrative
56,55,9878,management,administrative
56,56,89204,administrative,administrative
56,61,4743,education,administrative
56,62,100709,health,administrative
56,71,9958,recreation,administrative
56,72,26234,accommodation,administrative
56,81,17401,other services,administrative
56,G,83060,government,administrative
61,11,20,agriculture,education
61,21,0,mining,education
61,22,196,utilities,education
61,23,8,construction,education
61,31ND,109,nondurable,education
61,33DG,0,durable,education
61,42,2631,wholesale,education
61,44RT,7101,retail,education
61,48TW,327,transportation,education
61,51,332,information,education
61,52,58,finance,education
61,53,0,housing,education
61,54,198,professional,education
61,55,0,management,education
61,56,1206,administrative,education
61,61,4567,education,education
61,62,28,health,education
61,71,2182,recreation,education
61,72,0,accommodation,education
61,81,4453,other services,education
61,G,18133,government,education
62,11,0,agriculture,health
62,21,0,mining,health
62,22,0,utilities,health
62,23,0,construction,health
62,31ND,0,nondurable,health
62,33DG,0,durable,health
62,42,0,wholesale,health
62,44RT,0,retail,health
62,48TW,0,transportation,health
62,51,0,information,health
62,52,0,finance,health
62,53,0,housing,health
62,54,76,professional,health
62,55,0,management,health
62,56,107,administrative,health
62,61,0,education,health
62,62,36708,health,health
62,71,147,recreation,health
62,72,0,accommodation,health
62,81,135,other services,health
62,G,13624,government,health
71,11,70,agriculture,recreation
71,21,38,mining,recreation
71,22,117,utilities,recreation
71,23,185,construction,recreation
71,31ND,561,nondurable,recreation
71,33DG,527,durable,recreation
71,42,2438,wholesale,recreation
71,44RT,2145,retail,recreation
71,48TW,917,transportation,recreation
71,51,33926,information,recreation
71,52,3374,finance,recreation
71,53,6984,housing,recreation
71,54,8099,professional,recreation
71,55,3561,management,recreation
71,56,2939,administrative,recreation
71,61,1414,education,recreation
71,62,2770,health,recreation
71,71,22723,recreation,recreation
71,72,2900,accommodation,recreation
71,81,3472,other services,recreation
71,G,3240,government,recreation
72,11,502,agriculture,accommodation
72,21,878,mining,accommodation
72,22,2258,utilities,accommodation
72,23,803,construction,accommodation
72,31ND,4406,nondurable,accommodation
72,33DG,4622,durable,accommodation
72,42,7498,wholesale,accommodation
72,44RT,6636,retail,accommodation
72,48TW,18295,transportation,accommodation
72,51,10777,information,accommodation
72,52,28033,finance,accommodation
72,53,39573,housing,accommodation
72,54,37782,professional,accommodation
72,55,4117,management,accommodation
72,56,24577,administrative,accommodation
72,61,2624,education,accommodation
72,62,52738,health,accommodation
72,71,2925,recreation,accommodation
72,72,12821,accommodation,accommodation
72,81,5278,other services,accommodation
72,G,18208,government,accommodation
81,11,823,agriculture,other services
81,21,1180,mining,other services
81,22,515,utilities,other services
81,23,7762,construction,other services
81,31ND,11926,nondurable,other services
81,33DG,9069,durable,other services
81,42,29619,wholesale,other services
81,44RT,18251,retail,other services
81,48TW,16616,transportation,other services
81,51,7662,information,other services
81,52,21319,finance,other services
81,53,17770,housing,other services
81,54,12394,professional,other services
81,55,6737,management,other services
81,56,13807,administrative,other services
81,61,1201,education,other services
81,62,24920,health,other services
81,71,2609,recreation,other services
81,72,15014,accommodation,other services
81,81,10351,other services,other services
81,G,36084,government,other services
G,11,19,agriculture,government
G,21,4,mining,government
G,22,2909,utilities,government
G,23,6,construction,government
G,31ND,2868,nondurable,government
G,33DG,1445,durable,government
G,42,15410,wholesale,government
G,44RT,6498,retail,government
G,48TW,12251,transportation,government
G,51,2749,information,government
G,52,15337,finance,government
G,53,2752,housing,government
G,54,6064,professional,government
G,55,526,management,government
G,56,3148,administrative,government
G,61,592,education,government
G,62,8255,health,government
G,71,581,recreation,government
G,72,5948,accommodation,government
G,81,2578,other services,government
G,G,8855,government,government
